Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\IMG\robocam_2018_09_19_18_49_48_276.jpg;0;1;0;1.662497;101.8807;88.10036;1.327047;46.0994;-0.002060388
D:\IMG\robocam_2018_09_19_18_49_48_366.jpg;-3.994246;0.7337169;0;1.742136;101.98;88.19941;1.239542;45.63615;0.0009167939
D:\IMG\robocam_2018_09_19_18_49_48_457.jpg;-8.067949;0.4621367;0;1.787565;102.1108;88.3206;1.119829;44.28662;359.9264
D:\IMG\robocam_2018_09_19_18_49_48_548.jpg;-12.16865;0.1887569;0;1.814655;102.22;88.41241;0.9672;42.62822;359.761
D:\IMG\robocam_2018_09_19_18_49_48_646.jpg;-15;0;0;1.815534;102.3593;88.51779;0.6208634;40.02528;359.465
D:\IMG\robocam_2018_09_19_18_49_48_741.jpg;-15;0;0;1.800954;102.501;88.61428;0.1828763;37.40466;359.0876
D:\IMG\robocam_2018_09_19_18_49_48_831.jpg;-15;0;0;1.78701;102.6161;88.68732;359.8583;35.36597;358.8137
D:\IMG\robocam_2018_09_19_18_49_48_924.jpg;-15;0;0;1.776265;102.7658;88.77975;359.8748;33.01136;358.8933
D:\IMG\robocam_2018_09_19_18_49_49_011.jpg;-15;0;0;1.756135;102.8908;88.84601;0.01054976;30.95329;358.9688
D:\IMG\robocam_2018_09_19_18_49_49_105.jpg;-11.0819;0;0;1.743422;103.0467;88.92297;0.04870451;28.82535;359.0437
D:\IMG\robocam_2018_09_19_18_49_49_189.jpg;-6.829093;0;0;1.736337;103.1709;88.98331;0.0347023;27.70642;359.1232
D:\IMG\robocam_2018_09_19_18_49_49_282.jpg;-3.063428;0;0;1.730369;103.3246;89.05916;359.9845;27.03001;359.2717
D:\IMG\robocam_2018_09_19_18_49_49_368.jpg;0;0;0;1.721465;103.4461;89.1207;359.923;26.93725;359.4364
D:\IMG\robocam_2018_09_19_18_49_49_459.jpg;0;0;0;1.713492;103.597;89.19724;359.8349;26.93146;359.6456
D:\IMG\robocam_2018_09_19_18_49_49_541.jpg;0;0;0;1.703917;103.7171;89.2581;359.7625;26.93095;359.8051
D:\IMG\robocam_2018_09_19_18_49_49_629.jpg;0;0;0;1.696208;103.8367;89.31868;359.6927;26.93071;359.9524
D:\IMG\robocam_2018_09_19_18_49_49_711.jpg;0;0;0;1.688468;103.9558;89.379;359.6292;26.93062;0.08381192
D:\IMG\robocam_2018_09_19_18_49_49_799.jpg;0;0;0;1.68071;104.1049;89.45406;359.6002;26.92026;0.1858143
D:\IMG\robocam_2018_09_19_18_49_49_880.jpg;0;0;0;1.670243;104.2238;89.51409;359.5999;26.91523;0.2386367
D:\IMG\robocam_2018_09_19_18_49_49_968.jpg;0;0;0;1.66226;104.3424;89.574;359.6142;26.91145;0.2677703
D:\IMG\robocam_2018_09_19_18_49_50_052.jpg;0;0;0;1.654397;104.4604;89.63377;359.6329;26.91076;0.2818545
D:\IMG\robocam_2018_09_19_18_49_50_136.jpg;0;0;0;1.64686;104.6073;89.70808;359.663;26.90757;0.2724441
D:\IMG\robocam_2018_09_19_18_49_50_214.jpg;0;0;0;1.63733;104.7242;89.76728;359.6821;26.90749;0.2559663
D:\IMG\robocam_2018_09_19_18_49_50_304.jpg;0;0;0;1.629927;104.8404;89.82616;359.6995;26.90577;0.2277747
D:\IMG\robocam_2018_09_19_18_49_50_389.jpg;0;0;0;1.622437;104.9561;89.88483;359.714;26.90542;0.1934862
D:\IMG\robocam_2018_09_19_18_49_50_474.jpg;0;0;0;1.615118;105.0711;89.94318;359.7216;26.90543;0.1565857
D:\IMG\robocam_2018_09_19_18_49_50_553.jpg;0;0;0;1.607836;105.1855;90.00124;359.723;26.90546;0.1185539
D:\IMG\robocam_2018_09_19_18_49_50_638.jpg;0;0;0;1.600584;105.3276;90.07341;359.7176;26.90548;0.07165133
D:\IMG\robocam_2018_09_19_18_49_50_720.jpg;0;0;0;1.591555;105.4407;90.13081;359.7089;26.90549;0.03617962
D:\IMG\robocam_2018_09_19_18_49_50_801.jpg;0;0;0;1.584359;105.5532;90.18796;359.6974;26.90549;0.003653428
D:\IMG\robocam_2018_09_19_18_49_50_886.jpg;0;0;0;1.577184;105.6652;90.24496;359.6908;26.90812;359.9818
D:\IMG\robocam_2018_09_19_18_49_50_970.jpg;0;0;0;1.569846;105.7768;90.30171;359.6894;26.91001;359.9677
D:\IMG\robocam_2018_09_19_18_49_51_049.jpg;0;0;0;1.562666;105.888;90.35818;359.6922;26.91096;359.9603
D:\IMG\robocam_2018_09_19_18_49_51_135.jpg;0;0;0;1.555478;106.0263;90.42846;359.6961;26.91289;359.9587
D:\IMG\robocam_2018_09_19_18_49_51_220.jpg;0;0;0;1.546533;106.1363;90.48434;359.7002;26.91325;359.9616
D:\IMG\robocam_2018_09_19_18_49_51_304.jpg;0;0;0;1.539528;106.2458;90.53995;359.7007;26.91326;359.9653
D:\IMG\robocam_2018_09_19_18_49_51_386.jpg;0;0;0;1.532559;106.3549;90.59538;359.706;26.9152;359.977
D:\IMG\robocam_2018_09_19_18_49_51_467.jpg;0;0;0;1.525494;106.4634;90.65047;359.7072;26.91526;359.9865
D:\IMG\robocam_2018_09_19_18_49_51_550.jpg;0;0;0;1.51859;106.5714;90.70528;359.705;26.91526;-0.00463229
D:\IMG\robocam_2018_09_19_18_49_51_632.jpg;3.729084;0;0;1.511715;106.6776;90.76228;359.7075;27.31929;0.0569605
D:\IMG\robocam_2018_09_19_18_49_51_714.jpg;7.415438;0;0;1.503404;106.8072;90.83768;359.7271;28.4409;0.2107899
D:\IMG\robocam_2018_09_19_18_49_51_797.jpg;11.12859;0;0;1.491494;106.9076;90.90199;359.7581;29.79779;0.3955518
D:\IMG\robocam_2018_09_19_18_49_51_879.jpg;14.85434;0;0;1.479547;107.0039;90.97063;359.8014;31.61123;0.6408111
